Dataset,Approach,Mean regret,p-value,win count,Mean Exploration,p-value (exploration)
MNIST binary,Neural-CBP,1351.92,1.0,15.0,638.32,1.0
MNIST binary,IneurAL (official),1781.44,0.004,0.0,1289.56,0.0
MNIST binary,IneurAL (tuned),2066.52,0.015,5.0,579.2,0.298
MNIST binary,Neuronal (official),1721.88,0.0,0.0,1547.64,0.0
MNIST binary,Neuronal (tuned),1721.44,0.088,5.0,906.72,0.0
MNIST binary,Cesa,2977.0,0.0,0.0,273.16,0.0
MNIST binary,Margin,3216.72,0.0,0.0,107.56,0.0
MagicTelescope,Neural-CBP,3370.36,1.0,18.0,496.68,1.0
MagicTelescope,IneurAL (official),7495.04,0.0,0.0,6613.28,0.0
MagicTelescope,IneurAL (tuned),5085.36,0.0,0.0,3340.4,0.0
MagicTelescope,Neuronal (official),4324.56,0.001,0.0,2415.32,0.0
MagicTelescope,Neuronal (tuned),4442.16,0.006,0.0,18.6,0.0
MagicTelescope,Cesa,3642.64,0.407,6.0,238.4,0.002
MagicTelescope,Margin,3801.08,0.192,1.0,35.24,0.0
adult,Neural-CBP,2968.88,1.0,13.0,127.64,1.0
adult,IneurAL (official),7477.92,0.0,0.0,5645.0,0.0
adult,IneurAL (tuned),3729.16,0.135,1.0,598.12,0.021
adult,Neuronal (official),4949.8,0.0,1.0,3567.48,0.0
adult,Neuronal (tuned),3292.64,0.51,2.0,148.16,0.747
adult,Cesa,2455.52,0.102,1.0,315.52,0.001
adult,Margin,2889.958,0.858,7.0,33.042,0.002
